,AA,DL,year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
5034,0,1,2016,9,816.0,95.0,31.77,1.28,33.71,0.0,28.23,0.0,0.0,4784.0,1648.0,61.0,1446.0,0.0,1629.0
5036,0,1,2017,12,816.0,143.0,58.61,14.84,36.87,0.0,32.67,16.0,2.0,10076.0,3332.0,2884.0,1863.0,0.0,1997.0
5044,0,1,2012,3,815.0,102.0,37.08,2.58,27.18,0.0,35.15,2.0,1.0,4817.0,2043.0,289.0,902.0,0.0,1583.0
5045,0,1,2013,6,815.0,213.0,88.86,8.77,64.21,0.0,51.16,2.0,6.0,12809.0,5579.0,969.0,3084.0,0.0,3177.0
5056,0,1,2007,5,814.0,143.0,35.14,2.46,71.83,0.0,33.56,1.0,1.0,6028.0,1507.0,174.0,2319.0,0.0,2028.0
5060,0,1,2013,4,814.0,118.0,52.73,1.86,33.25,0.0,30.16,1.0,3.0,6119.0,2786.0,72.0,1641.0,0.0,1620.0
5072,0,1,2006,12,813.0,159.0,57.85,5.48,58.07,0.0,37.60,5.0,2.0,6747.0,2410.0,205.0,1872.0,0.0,2260.0
5079,0,1,2013,6,813.0,206.0,63.14,6.54,97.41,0.0,38.91,8.0,6.0,15995.0,4916.0,1450.0,6660.0,0.0,2969.0
5091,0,1,2011,11,812.0,88.0,26.03,1.91,39.94,0.0,20.11,2.0,1.0,3756.0,1474.0,49.0,1242.0,0.0,991.0
5097,0,1,2017,9,812.0,101.0,34.26,0.57,49.41,0.0,16.77,70.0,1.0,4336.0,1474.0,13.0,2086.0,0.0,763.0
5108,0,1,2013,6,811.0,267.0,58.40,10.59,166.09,0.0,31.92,2.0,1.0,17288.0,3691.0,1017.0,10072.0,0.0,2508.0
5112,0,1,2016,10,811.0,43.0,22.51,0.0,9.89,1.0,9.60,0.0,1.0,1891.0,1108.0,0.0,315.0,25.0,443.0
5127,0,1,2011,11,810.0,75.0,31.03,1.04,17.53,0.0,25.40,0.0,0.0,3686.0,1709.0,29.0,519.0,0.0,1429.0
5130,0,1,2015,4,810.0,100.0,35.90,4.0,34.60,0.0,25.49,5.0,0.0,6201.0,2295.0,370.0,1185.0,0.0,2351.0
5132,0,1,2015,10,810.0,88.0,39.52,0.0,38.33,0.0,10.14,0.0,4.0,3711.0,2003.0,0.0,1354.0,0.0,354.0
5178,0,1,2009,10,81.0,11.0,2.71,0.53,6.13,0.0,1.63,0.0,2.0,290.0,90.0,18.0,154.0,0.0,28.0
5180,0,1,2009,12,81.0,51.0,4.78,0.84,43.44,0.95,1.00,0.0,0.0,2213.0,601.0,21.0,1472.0,35.0,84.0
5242,0,1,2008,11,809.0,113.0,35.58,4.59,26.70,0.0,46.13,23.0,0.0,5351.0,1732.0,280.0,784.0,0.0,2555.0
5243,0,1,2011,5,809.0,110.0,37.19,4.0,25.35,0.0,43.46,3.0,0.0,6380.0,2091.0,667.0,1063.0,0.0,2559.0
5245,0,1,2013,10,809.0,74.0,32.70,2.0,19.52,0.0,19.78,0.0,0.0,3295.0,1532.0,94.0,614.0,0.0,1055.0
5246,0,1,2016,5,809.0,116.0,36.11,4.87,48.04,0.0,26.98,0.0,7.0,5673.0,1989.0,173.0,1875.0,0.0,1636.0
5248,0,1,2017,6,809.0,142.0,42.06,4.1,61.74,0.0,34.10,0.0,5.0,9121.0,2778.0,329.0,3372.0,0.0,2642.0
5249,0,1,2017,11,809.0,64.0,34.08,0.23,16.35,0.51,12.83,0.0,0.0,2830.0,1688.0,16.0,428.0,40.0,658.0
